# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-1.312508175033144653e-05
1.999999955296516418e-02,-2.624920671223662794e-05
3.500000014901161194e-02,-4.593360790750011802e-05
5.750000104308128357e-02,-7.545619155280292034e-05
9.125000238418579102e-02,-1.197310775751248002e-04
1.412499994039535522e-01,-1.853037247201427817e-04
1.912499964237213135e-01,-2.508528414182364941e-04
2.412499934434890747e-01,-3.163783112540841103e-04
2.912499904632568359e-01,-3.818799741566181183e-04
3.412500023841857910e-01,-4.473575099837034941e-04
3.912500143051147461e-01,-5.128105403855443001e-04
4.412499964237213135e-01,-5.782384541817009449e-04
4.912500083446502686e-01,-6.436405237764120102e-04
5.412499904632568359e-01,-7.090122089721262455e-04
5.662500262260437012e-01,-7.415604195557534695e-04
5.912500023841857910e-01,-7.740276632830500603e-04
6.162499785423278809e-01,-8.064521243795752525e-04
6.537500023841857910e-01,-8.550047059543430805e-04
7.037500143051147461e-01,-9.195817983709275723e-04
7.537500262260437012e-01,-9.839772246778011322e-04
8.037499785423278809e-01,-1.048190519213676453e-03
8.537499904632568359e-01,-1.112222322262823582e-03
9.037500023841857910e-01,-1.176073099486529827e-03
9.537500143051147461e-01,-1.239742967300117016e-03
1.003749966621398926e+00,-1.303230761550366879e-03
1.053750038146972656e+00,-1.366532291285693645e-03
