# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-3.835530515061691403e-05
1.999999955296516418e-02,-7.670915510971099138e-05
3.500000014901161194e-02,-1.342371688224375248e-04
5.750000104308128357e-02,-2.205228374805301428e-04
9.125000238418579102e-02,-3.499365702737122774e-04
1.412499994039535522e-01,-5.416265921667218208e-04
1.912499964237213135e-01,-7.332737441174685955e-04
2.412499934434890747e-01,-9.248750866390764713e-04
2.912499904632568359e-01,-1.116427709348499775e-03
3.412500023841857910e-01,-1.307928469032049179e-03
3.912500143051147461e-01,-1.499373465776443481e-03
4.412499964237213135e-01,-1.690757810138165951e-03
4.912500083446502686e-01,-1.882062177173793316e-03
5.412499904632568359e-01,-2.073291689157485962e-03
5.912500023841857910e-01,-2.261672401800751686e-03
6.037499904632568359e-01,-2.303863177075982094e-03
6.162499785423278809e-01,-2.345246030017733574e-03
6.349999904632568359e-01,-2.406432759016752243e-03
6.631249785423278809e-01,-2.496371278539299965e-03
7.053124904632568359e-01,-2.627316629514098167e-03
7.553125023841857910e-01,-2.776739187538623810e-03
8.053125143051147461e-01,-2.920130034908652306e-03
8.553125262260437012e-01,-3.057415364310145378e-03
9.053124785423278809e-01,-3.188383067026734352e-03
9.178125262260437012e-01,-3.220107639208436012e-03
9.365624785423278809e-01,-3.266935236752033234e-03
9.646875262260437012e-01,-3.335466142743825912e-03
9.752343893051147461e-01,-3.373122541233897209e-03
9.910547137260437012e-01,-3.428430529311299324e-03
1.014785170555114746e+00,-3.508809721097350121e-03
