# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-2.951662827399559319e-05
1.999999955296516418e-02,-5.903270357521250844e-05
3.500000014901161194e-02,-1.033057560562156141e-04
5.750000104308128357e-02,-1.697128755040466785e-04
9.125000238418579102e-02,-2.693177957553416491e-04
1.412499994039535522e-01,-4.168671439401805401e-04
1.912499964237213135e-01,-5.643991753458976746e-04
2.412499934434890747e-01,-7.119123474694788456e-04
2.912499904632568359e-01,-8.594049722887575626e-04
3.412500023841857910e-01,-1.006875303573906422e-03
3.912500143051147461e-01,-1.154321245849132538e-03
4.412499964237213135e-01,-1.301740296185016632e-03
4.912500083446502686e-01,-1.449127099476754665e-03
5.412499904632568359e-01,-1.596004934981465340e-03
5.662500262260437012e-01,-1.653295825235545635e-03
5.912500023841857910e-01,-1.702879555523395538e-03
6.162499785423278809e-01,-1.747594564221799374e-03
6.537500023841857910e-01,-1.805300358682870865e-03
7.037500143051147461e-01,-1.864436198957264423e-03
7.537500262260437012e-01,-1.903318800032138824e-03
8.037499785423278809e-01,-1.922041876241564751e-03
8.537499904632568359e-01,-1.921013463288545609e-03
9.037500023841857910e-01,-1.900861505419015884e-03
9.537500143051147461e-01,-1.862317207269370556e-03
1.003749966621398926e+00,-1.806076150387525558e-03
1.053750038146972656e+00,-1.732598873786628246e-03
