# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-2.584952562756370753e-05
1.999999955296516418e-02,-5.169848009245470166e-05
3.500000014901161194e-02,-9.047082130564376712e-05
5.750000104308128357e-02,-1.486268156440928578e-04
9.125000238418579102e-02,-2.358549099881201982e-04
1.412499994039535522e-01,-3.650679427664726973e-04
1.912499964237213135e-01,-4.942633677273988724e-04
2.412499934434890747e-01,-6.234396132640540600e-04
2.912499904632568359e-01,-7.525949040427803993e-04
3.412500023841857910e-01,-8.817272610031068325e-04
3.912500143051147461e-01,-1.010834239423274994e-03
4.412499964237213135e-01,-1.139911939390003681e-03
4.912500083446502686e-01,-1.268939580768346786e-03
5.412499904632568359e-01,-1.397920306771993637e-03
5.912500023841857910e-01,-1.521399477496743202e-03
6.037499904632568359e-01,-1.542057842016220093e-03
6.162499785423278809e-01,-1.560456934385001659e-03
6.349999904632568359e-01,-1.585272024385631084e-03
6.631249785423278809e-01,-1.616756664589047432e-03
7.053124904632568359e-01,-1.651452737860381603e-03
7.553125023841857910e-01,-1.673334627412259579e-03
8.053125143051147461e-01,-1.674160012044012547e-03
8.553125262260437012e-01,-1.653455081395804882e-03
9.053124785423278809e-01,-1.611537882126867771e-03
9.178125262260437012e-01,-1.597831840626895428e-03
9.365624785423278809e-01,-1.574921305291354656e-03
9.646875262260437012e-01,-1.535324379801750183e-03
9.752343893051147461e-01,-1.510334433987736702e-03
9.910547137260437012e-01,-1.469235750846564770e-03
1.014785170555114746e+00,-1.399569911882281303e-03
