# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-8.648520633869338781e-06
1.999999955296516418e-02,-1.729656651150435209e-05
3.500000014901161194e-02,-3.026775084435939789e-05
5.750000104308128357e-02,-4.972253736923448741e-05
9.125000238418579102e-02,-7.890025881351903081e-05
1.412499994039535522e-01,-1.221167040057480335e-04
1.912499964237213135e-01,-1.653213839745149016e-04
2.412499934434890747e-01,-2.085141604766249657e-04
2.912499904632568359e-01,-2.516947279218584299e-04
3.412500023841857910e-01,-2.948626643046736717e-04
3.912500143051147461e-01,-3.380174748599529266e-04
4.412499964237213135e-01,-3.811584610957652330e-04
4.912500083446502686e-01,-4.242847790010273457e-04
5.412499904632568359e-01,-4.673929652199149132e-04
5.662500262260437012e-01,-4.888575640507042408e-04
5.912500023841857910e-01,-5.102693103253841400e-04
6.162499785423278809e-01,-5.316532333381474018e-04
6.537500023841857910e-01,-5.636741407215595245e-04
7.037500143051147461e-01,-6.062638713046908379e-04
7.537500262260437012e-01,-6.487334030680358410e-04
8.037499785423278809e-01,-6.910812808200716972e-04
8.537499904632568359e-01,-7.333063404075801373e-04
9.037500023841857910e-01,-7.754072430543601513e-04
9.537500143051147461e-01,-8.173818350769579411e-04
1.003749966621398926e+00,-8.592265076003968716e-04
1.053750038146972656e+00,-9.009351488202810287e-04
