# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-2.062108251266181469e-05
1.999999955296516418e-02,-4.124156475882045925e-05
3.500000014901161194e-02,-7.217114762170240283e-05
5.750000104308128357e-02,-1.185628862003795803e-04
9.125000238418579102e-02,-1.881443458842113614e-04
1.412499994039535522e-01,-2.912136551458388567e-04
1.912499964237213135e-01,-3.942647890653461218e-04
2.412499934434890747e-01,-4.972963943146169186e-04
2.912499904632568359e-01,-6.003072485327720642e-04
3.412500023841857910e-01,-7.032959838397800922e-04
3.912500143051147461e-01,-8.062611450441181660e-04
4.412499964237213135e-01,-9.092013351619243622e-04
4.912500083446502686e-01,-1.012114109471440315e-03
5.412499904632568359e-01,-1.115001854486763477e-03
5.912500023841857910e-01,-1.217857934534549713e-03
6.412500143051147461e-01,-1.320676296018064022e-03
6.912500262260437012e-01,-1.423522946424782276e-03
7.412499785423278809e-01,-1.526284497231245041e-03
7.912499904632568359e-01,-1.629009959287941456e-03
8.412500023841857910e-01,-1.731668133288621902e-03
8.912500143051147461e-01,-1.831458183005452156e-03
9.037500023841857910e-01,-1.854951260611414909e-03
9.162499904632568359e-01,-1.878307084552943707e-03
9.350000023841857910e-01,-1.913183485157787800e-03
9.420312643051147461e-01,-1.932726823724806309e-03
9.446679949760437012e-01,-1.943764626048505306e-03
9.486230611801147461e-01,-1.960551133379340172e-03
9.501062035560607910e-01,-1.970377517864108086e-03
9.506623744964599609e-01,-1.976227387785911560e-03
9.514966607093811035e-01,-1.985106617212295532e-03
9.518095254898071289e-01,-1.990013755857944489e-03
9.522787928581237793e-01,-1.997238490730524063e-03
9.529827237129211426e-01,-2.007829956710338593e-03
9.540385603904724121e-01,-2.023502951487898827e-03
9.556224346160888672e-01,-2.046706620603799820e-03
