# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-2.206180943176150322e-05
1.999999955296516418e-02,-4.412215275806374848e-05
3.500000014901161194e-02,-7.720992289250716567e-05
5.750000104308128357e-02,-1.268354099011048675e-04
9.125000238418579102e-02,-2.012597251450642943e-04
1.412499994039535522e-01,-3.114872961305081844e-04
1.912499964237213135e-01,-4.216781235300004482e-04
2.412499934434890747e-01,-5.318320472724735737e-04
2.912499904632568359e-01,-6.419486016966402531e-04
3.412500023841857910e-01,-7.520274957641959190e-04
3.912500143051147461e-01,-8.620680891908705235e-04
4.412499964237213135e-01,-9.720696834847331047e-04
4.912500083446502686e-01,-1.082031521946191788e-03
5.412499904632568359e-01,-1.191945979371666908e-03
5.662500262260437012e-01,-1.246670726686716080e-03
5.912500023841857910e-01,-1.301259500905871391e-03
6.162499785423278809e-01,-1.355776912532746792e-03
6.537500023841857910e-01,-1.437412574887275696e-03
7.037500143051147461e-01,-1.545994076877832413e-03
7.537500262260437012e-01,-1.654273830354213715e-03
8.037499785423278809e-01,-1.762252184562385082e-03
8.537499904632568359e-01,-1.869931351393461227e-03
9.037500023841857910e-01,-1.977313775569200516e-03
9.537500143051147461e-01,-2.084401901811361313e-03
1.003749966621398926e+00,-2.191195264458656311e-03
1.053750038146972656e+00,-2.297689439728856087e-03
