# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-1.762591818987857550e-05
1.999999955296516418e-02,-3.525055944919586182e-05
3.500000014901161194e-02,-6.168511754367500544e-05
5.750000104308128357e-02,-1.013315850286744535e-04
9.125000238418579102e-02,-1.607892045285552740e-04
1.412499994039535522e-01,-2.488479949533939362e-04
1.912499964237213135e-01,-3.368750913068652153e-04
2.412499934434890747e-01,-4.248704062774777412e-04
2.912499904632568359e-01,-5.128338234499096870e-04
3.412500023841857910e-01,-6.007650517858564854e-04
3.912500143051147461e-01,-6.886636256240308285e-04
4.412499964237213135e-01,-7.765291375108063221e-04
4.912500083446502686e-01,-8.643608889542520046e-04
5.412499904632568359e-01,-9.521510801278054714e-04
5.912500023841857910e-01,-1.039421884343028069e-03
6.412500143051147461e-01,-1.126445597037672997e-03
6.912500262260437012e-01,-1.213226118125021458e-03
7.412499785423278809e-01,-1.299764262512326241e-03
7.912499904632568359e-01,-1.386060379445552826e-03
8.412500023841857910e-01,-1.472115865908563137e-03
8.912500143051147461e-01,-1.557932933792471886e-03
9.412500262260437012e-01,-1.643513445742428303e-03
9.912499785423278809e-01,-1.728857867419719696e-03
1.041249990463256836e+00,-1.813963521271944046e-03
