# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-4.538299336331874656e-08
1.999999955296516418e-02,-9.193679773034091340e-08
3.500000014901161194e-02,-1.639016886656463612e-07
5.750000104308128357e-02,-2.764659541298897238e-07
9.125000238418579102e-02,-4.550740868580760434e-07
1.412499994039535522e-01,-7.391417398139310535e-07
1.912499964237213135e-01,-1.043368683895096183e-06
2.412499934434890747e-01,-1.364213630949961953e-06
2.912499904632568359e-01,-1.698119149295962416e-06
3.412500023841857910e-01,-2.041477728198515251e-06
3.912500143051147461e-01,-2.390594090684317052e-06
4.412499964237213135e-01,-2.741544449236243963e-06
4.912500083446502686e-01,-3.088254970862180926e-06
5.412499904632568359e-01,-3.407935992072452791e-06
5.912500023841857910e-01,-3.757530066650360823e-06
6.412500143051147461e-01,-3.897205715475138277e-06
6.912500262260437012e-01,-4.301320586819201708e-06
7.412499785423278809e-01,-4.579927008308004588e-06
7.912499904632568359e-01,-4.741184966405853629e-06
8.412500023841857910e-01,-4.673750481742899865e-06
8.912500143051147461e-01,3.069922240683808923e-05
9.037500023841857910e-01,5.537011747946962714e-05
9.162499904632568359e-01,8.157314732670783997e-05
9.350000023841857910e-01,1.236035459442064166e-04
9.420312643051147461e-01,1.485099928686395288e-04
9.446679949760437012e-01,1.628192840144038200e-04
9.486230611801147461e-01,1.842985802795737982e-04
9.501062035560607910e-01,1.956596097443252802e-04
9.506623744964599609e-01,2.010935277212411165e-04
9.514966607093811035e-01,2.081467973766848445e-04
9.518095254898071289e-01,2.123513113474473357e-04
9.522787928581237793e-01,2.190801169490441680e-04
9.529827237129211426e-01,2.298502949997782707e-04
9.540385603904724121e-01,2.472564810886979103e-04
9.556224346160888672e-01,2.755478199105709791e-04
