# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-3.124839713564142585e-05
1.999999955296516418e-02,-6.249614671105518937e-05
3.500000014901161194e-02,-1.093665196094661951e-04
5.750000104308128357e-02,-1.796692085918039083e-04
9.125000238418579102e-02,-2.851164899766445160e-04
1.412499994039535522e-01,-4.413188726175576448e-04
1.912499964237213135e-01,-5.975009989924728870e-04
2.412499934434890747e-01,-7.536612101830542088e-04
2.912499904632568359e-01,-9.097975562326610088e-04
3.412500023841857910e-01,-1.065908116288483143e-03
3.912500143051147461e-01,-1.221990562044084072e-03
4.412499964237213135e-01,-1.378042274154722691e-03
4.912500083446502686e-01,-1.534057781100273132e-03
5.412499904632568359e-01,-1.689559663645923138e-03
5.662500262260437012e-01,-1.751163974404335022e-03
5.912500023841857910e-01,-1.805061125196516514e-03
6.162499785423278809e-01,-1.854090252891182899e-03
6.537500023841857910e-01,-1.918275025673210621e-03
7.037500143051147461e-01,-1.986114308238029480e-03
7.537500262260437012e-01,-2.033951925113797188e-03
8.037499785423278809e-01,-2.062262734398245811e-03
8.537499904632568359e-01,-2.071990631520748138e-03
9.037500023841857910e-01,-2.064300933852791786e-03
9.537500143051147461e-01,-2.040295628830790520e-03
1.003749966621398926e+00,-2.000853419303894043e-03
1.053750038146972656e+00,-1.946541247889399529e-03
