# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-1.315078498009825125e-05
1.999999955296516418e-02,-2.630060953379143029e-05
3.500000014901161194e-02,-4.602355329552665353e-05
5.750000104308128357e-02,-7.560394442407414317e-05
9.125000238418579102e-02,-1.199655016534961760e-04
1.412499994039535522e-01,-1.856664894148707390e-04
1.912499964237213135e-01,-2.513438521418720484e-04
2.412499934434890747e-01,-3.169975243508815765e-04
2.912499904632568359e-01,-3.826272732112556696e-04
3.412500023841857910e-01,-4.482328658923506737e-04
3.912500143051147461e-01,-5.138138076290488243e-04
4.412499964237213135e-01,-5.793695454485714436e-04
4.912500083446502686e-01,-6.448993808589875698e-04
5.412499904632568359e-01,-7.103972602635622025e-04
5.912500023841857910e-01,-7.755085825920104980e-04
6.412500143051147461e-01,-8.404348627664148808e-04
6.912500262260437012e-01,-9.051787201315164566e-04
7.412499785423278809e-01,-9.697400382719933987e-04
7.912499904632568359e-01,-1.034118584357202053e-03
8.412500023841857910e-01,-1.098314533010125160e-03
8.912500143051147461e-01,-1.162328640930354595e-03
9.412500262260437012e-01,-1.226161140948534012e-03
9.912499785423278809e-01,-1.289811334572732449e-03
1.041249990463256836e+00,-1.353275496512651443e-03
