# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-3.337627640576101840e-05
1.999999955296516418e-02,-6.675175245618447661e-05
3.500000014901161194e-02,-1.168134403997100890e-04
5.750000104308128357e-02,-1.919024507515132427e-04
9.125000238418579102e-02,-3.045276971533894539e-04
1.412499994039535522e-01,-4.713607195299118757e-04
1.912499964237213135e-01,-6.381691782735288143e-04
2.412499934434890747e-01,-8.049511234275996685e-04
2.912499904632568359e-01,-9.717045468278229237e-04
3.412500023841857910e-01,-1.138427178375422955e-03
3.912500143051147461e-01,-1.305116456933319569e-03
4.412499964237213135e-01,-1.471769530326128006e-03
4.912500083446502686e-01,-1.638380461372435093e-03
5.412499904632568359e-01,-1.804288243874907494e-03
5.912500023841857910e-01,-1.929182442836463451e-03
6.412500143051147461e-01,-2.032432705163955688e-03
6.912500262260437012e-01,-2.116371877491474152e-03
7.412499785423278809e-01,-2.182251540943980217e-03
7.912499904632568359e-01,-2.231513382866978645e-03
8.412500023841857910e-01,-2.265461720526218414e-03
8.912500143051147461e-01,-2.285127760842442513e-03
9.412500262260437012e-01,-2.291233278810977936e-03
9.912499785423278809e-01,-2.284289104864001274e-03
1.041249990463256836e+00,-2.264649374410510063e-03
