# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-1.770388189470395446e-05
1.999999955296516418e-02,-3.540633406373672187e-05
3.500000014901161194e-02,-6.195732566993683577e-05
5.750000104308128357e-02,-1.017777831293642521e-04
9.125000238418579102e-02,-1.614949287613853812e-04
1.412499994039535522e-01,-2.499349357094615698e-04
1.912499964237213135e-01,-3.383393050171434879e-04
2.412499934434890747e-01,-4.267078475095331669e-04
2.912499904632568359e-01,-5.150403012521564960e-04
3.412500023841857910e-01,-6.033362005837261677e-04
3.912500143051147461e-01,-6.915950798429548740e-04
4.412499964237213135e-01,-7.798161241225898266e-04
4.912500083446502686e-01,-8.679982856847345829e-04
5.412499904632568359e-01,-9.561406332068145275e-04
5.912500023841857910e-01,-1.044235541485249996e-03
6.037499904632568359e-01,-1.066123368218541145e-03
6.162499785423278809e-01,-1.087991171516478062e-03
6.349999904632568359e-01,-1.120764063671231270e-03
6.631249785423278809e-01,-1.169858966022729874e-03
7.053124904632568359e-01,-1.243357080966234207e-03
7.553125023841857910e-01,-1.330243772827088833e-03
8.053125143051147461e-01,-1.416886108927428722e-03
8.553125262260437012e-01,-1.503279199823737144e-03
9.053124785423278809e-01,-1.589421997778117657e-03
9.178125262260437012e-01,-1.610918552614748478e-03
9.365624785423278809e-01,-1.643134397454559803e-03
9.646875262260437012e-01,-1.691393204964697361e-03
9.752343893051147461e-01,-1.718504703603684902e-03
9.910547137260437012e-01,-1.759125501848757267e-03
1.014785170555114746e+00,-1.819948665797710419e-03
