# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-3.331421248731203377e-05
1.999999955296516418e-02,-6.662762461928650737e-05
3.500000014901161194e-02,-1.165962312370538712e-04
5.750000104308128357e-02,-1.915456232381984591e-04
9.125000238418579102e-02,-3.039614821318536997e-04
1.412499994039535522e-01,-4.704843740910291672e-04
1.912499964237213135e-01,-6.369828479364514351e-04
2.412499934434890747e-01,-8.034548955038189888e-04
2.912499904632568359e-01,-9.698985959403216839e-04
3.412500023841857910e-01,-1.136311562731862068e-03
3.912500143051147461e-01,-1.302691409364342690e-03
4.412499964237213135e-01,-1.469035283662378788e-03
4.912500083446502686e-01,-1.635337364859879017e-03
5.412499904632568359e-01,-1.801119185984134674e-03
5.662500262260437012e-01,-1.867851591669023037e-03
5.912500023841857910e-01,-1.926891854964196682e-03
6.162499785423278809e-01,-1.981119159609079361e-03
6.537500023841857910e-01,-2.053365577012300491e-03
7.037500143051147461e-01,-2.133085159584879875e-03
7.537500262260437012e-01,-2.195151522755622864e-03
8.037499785423278809e-01,-2.240965841338038445e-03
8.537499904632568359e-01,-2.271780511364340782e-03
9.037500023841857910e-01,-2.288550138473510742e-03
9.537500143051147461e-01,-2.291939919814467430e-03
1.003749966621398926e+00,-2.282424364238977432e-03
1.053750038146972656e+00,-2.260323846712708473e-03
