# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-2.602844324428588152e-05
1.999999955296516418e-02,-5.205639899941161275e-05
3.500000014901161194e-02,-9.109740494750440121e-05
5.750000104308128357e-02,-1.496567856520414352e-04
9.125000238418579102e-02,-2.374908945057541132e-04
1.412499994039535522e-01,-3.676039923448115587e-04
1.912499964237213135e-01,-4.977025673724710941e-04
2.412499934434890747e-01,-6.277853972278535366e-04
2.912499904632568359e-01,-7.578513468615710735e-04
3.412500023841857910e-01,-8.878989028744399548e-04
3.912500143051147461e-01,-1.017926493659615517e-03
4.412499964237213135e-01,-1.147932140156626701e-03
4.912500083446502686e-01,-1.277910661883652210e-03
5.412499904632568359e-01,-1.407200586982071400e-03
5.912500023841857910e-01,-1.495306380093097687e-03
6.412500143051147461e-01,-1.561401295475661755e-03
6.912500262260437012e-01,-1.607075566425919533e-03
7.412499785423278809e-01,-1.632313360460102558e-03
7.912499904632568359e-01,-1.637176377698779106e-03
8.412500023841857910e-01,-1.621949602849781513e-03
8.912500143051147461e-01,-1.587118953466415405e-03
9.412500262260437012e-01,-1.533211790956556797e-03
9.912499785423278809e-01,-1.460687024518847466e-03
1.041249990463256836e+00,-1.369755016639828682e-03
