# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-2.867188777599949390e-05
1.999999955296516418e-02,-5.734310616389848292e-05
3.500000014901161194e-02,-1.003486468107439578e-04
5.750000104308128357e-02,-1.648539910092949867e-04
9.125000238418579102e-02,-2.616050187498331070e-04
1.412499994039535522e-01,-4.049234848935157061e-04
1.912499964237213135e-01,-5.482208798639476299e-04
2.412499934434890747e-01,-6.914952537044882774e-04
2.912499904632568359e-01,-8.347445400431752205e-04
3.412500023841857910e-01,-9.779663523659110069e-04
3.912500143051147461e-01,-1.121157780289649963e-03
4.412499964237213135e-01,-1.264314632862806320e-03
4.912500083446502686e-01,-1.407415838912129402e-03
5.412499904632568359e-01,-1.550464192405343056e-03
5.912500023841857910e-01,-1.688006450422108173e-03
6.037499904632568359e-01,-1.712197670713067055e-03
6.162499785423278809e-01,-1.734134391881525517e-03
6.349999904632568359e-01,-1.764260232448577881e-03
6.631249785423278809e-01,-1.803718274459242821e-03
7.053124904632568359e-01,-1.850396511144936085e-03
7.553125023841857910e-01,-1.886560232378542423e-03
8.053125143051147461e-01,-1.901919371448457241e-03
8.553125262260437012e-01,-1.896331668831408024e-03
9.053124785423278809e-01,-1.870474312454462051e-03
9.178125262260437012e-01,-1.860963995568454266e-03
9.365624785423278809e-01,-1.844497746787965298e-03
9.646875262260437012e-01,-1.814930117689073086e-03
9.752343893051147461e-01,-1.795786549337208271e-03
9.910547137260437012e-01,-1.763754291459918022e-03
1.014785170555114746e+00,-1.708412193693220615e-03
