# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-4.165160135016776621e-05
1.999999955296516418e-02,-8.330170385306701064e-05
3.500000014901161194e-02,-1.457740145269781351e-04
5.750000104308128357e-02,-2.394759503658860922e-04
9.125000238418579102e-02,-3.800138074439018965e-04
1.412499994039535522e-01,-5.881836987100541592e-04
1.912499964237213135e-01,-7.963106036186218262e-04
2.412499934434890747e-01,-1.004392281174659729e-03
2.912499904632568359e-01,-1.212426461279392242e-03
3.412500023841857910e-01,-1.420410349965095520e-03
3.912500143051147461e-01,-1.628341386094689369e-03
4.412499964237213135e-01,-1.836216310039162636e-03
4.912500083446502686e-01,-2.044030465185642242e-03
5.412499904632568359e-01,-2.251582918688654900e-03
5.662500262260437012e-01,-2.349471440538764000e-03
5.912500023841857910e-01,-2.445400459691882133e-03
6.162499785423278809e-01,-2.540509449318051338e-03
6.537500023841857910e-01,-2.681604819372296333e-03
7.037500143051147461e-01,-2.866748720407485962e-03
7.537500262260437012e-01,-3.048472804948687553e-03
8.037499785423278809e-01,-3.226843429729342461e-03
8.537499904632568359e-01,-3.401971422135829926e-03
9.037500023841857910e-01,-3.573975525796413422e-03
9.537500143051147461e-01,-3.742966335266828537e-03
1.003749966621398926e+00,-3.909031394869089127e-03
1.053750038146972656e+00,-4.072219599038362503e-03
