# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-3.550445762812159956e-05
1.999999955296516418e-02,-7.100730726961046457e-05
3.500000014901161194e-02,-1.242585713043808937e-04
5.750000104308128357e-02,-2.041286061285063624e-04
9.125000238418579102e-02,-3.239180659875273705e-04
1.412499994039535522e-01,-5.013489862903952599e-04
1.912499964237213135e-01,-6.787371239624917507e-04
2.412499934434890747e-01,-8.560813730582594872e-04
2.912499904632568359e-01,-1.033380394801497459e-03
3.412500023841857910e-01,-1.210632617585361004e-03
3.912500143051147461e-01,-1.387836644425988197e-03
4.412499964237213135e-01,-1.564990496262907982e-03
4.912500083446502686e-01,-1.742092194035649300e-03
5.412499904632568359e-01,-1.919129048474133015e-03
5.662500262260437012e-01,-2.007281174883246422e-03
5.912500023841857910e-01,-2.095221308991312981e-03
6.162499785423278809e-01,-2.183050382882356644e-03
6.537500023841857910e-01,-2.314574318006634712e-03
7.037500143051147461e-01,-2.489521866664290428e-03
7.537500262260437012e-01,-2.663994440808892250e-03
8.037499785423278809e-01,-2.837992040440440178e-03
8.537499904632568359e-01,-3.011517925187945366e-03
9.037500023841857910e-01,-3.184576751664280891e-03
9.537500143051147461e-01,-3.357172012329101562e-03
1.003749966621398926e+00,-3.529304638504981995e-03
1.053750038146972656e+00,-3.700967878103256226e-03
