# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-3.827072305284673348e-06
1.999999955296516418e-02,-7.654978617210872471e-06
3.500000014901161194e-02,-1.339834034297382459e-05
5.750000104308128357e-02,-2.201657480327412486e-05
9.125000238418579102e-02,-3.495046985335648060e-05
1.412499994039535522e-01,-5.412413884187117219e-05
1.912499964237213135e-01,-7.330940570682287216e-05
2.412499934434890747e-01,-9.250269067706540227e-05
2.912499904632568359e-01,-1.117003776016645133e-04
3.412500023841857910e-01,-1.308988139498978853e-04
3.912500143051147461e-01,-1.500942307757213712e-04
4.412499964237213135e-01,-1.692826772341504693e-04
4.912500083446502686e-01,-1.884580124169588089e-04
5.412499904632568359e-01,-2.075975207844749093e-04
5.912500023841857910e-01,-2.267581003252416849e-04
6.412500143051147461e-01,-2.457002119626849890e-04
6.912500262260437012e-01,-2.649086818564683199e-04
7.412499785423278809e-01,-2.839734661392867565e-04
7.912499904632568359e-01,-3.029329818673431873e-04
8.412500023841857910e-01,-3.216962504666298628e-04
8.912500143051147461e-01,-3.143427893519401550e-04
9.037500023841857910e-01,-2.999777207151055336e-04
9.162499904632568359e-01,-2.842335670720785856e-04
9.350000023841857910e-01,-2.582386077847331762e-04
9.420312643051147461e-01,-2.425874117761850357e-04
9.446679949760437012e-01,-2.335997414775192738e-04
9.486230611801147461e-01,-2.203490294050425291e-04
9.501062035560607910e-01,-2.138774871127679944e-04
9.506623744964599609e-01,-2.113428927259519696e-04
9.514966607093811035e-01,-2.085677842842414975e-04
9.518095254898071289e-01,-2.066958841169252992e-04
9.522787928581237793e-01,-2.034109493251889944e-04
9.529827237129211426e-01,-1.977476786123588681e-04
9.540385603904724121e-01,-1.880581839941442013e-04
9.556224346160888672e-01,-1.715390681056305766e-04
