# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-2.637392935866955668e-05
1.999999955296516418e-02,-5.274737122817896307e-05
3.500000014901161194e-02,-9.230659634340554476e-05
5.750000104308128357e-02,-1.516432967036962509e-04
9.125000238418579102e-02,-2.406433341093361378e-04
1.412499994039535522e-01,-3.724836278706789017e-04
1.912499964237213135e-01,-5.043091950938105583e-04
2.412499934434890747e-01,-6.361188134178519249e-04
2.912499904632568359e-01,-7.679112022742629051e-04
3.412500023841857910e-01,-8.996849646791815758e-04
3.912500143051147461e-01,-1.031438470818102360e-03
4.412499964237213135e-01,-1.163169392384588718e-03
4.912500083446502686e-01,-1.294872839935123920e-03
5.412499904632568359e-01,-1.425887807272374630e-03
5.912500023841857910e-01,-1.515752403065562248e-03
6.412500143051147461e-01,-1.583624281920492649e-03
6.912500262260437012e-01,-1.631092047318816185e-03
7.412499785423278809e-01,-1.658139517530798912e-03
7.912499904632568359e-01,-1.664827810600399971e-03
8.412500023841857910e-01,-1.651441445574164391e-03
8.912500143051147461e-01,-1.618465641513466835e-03
9.412500262260437012e-01,-1.566426944918930531e-03
9.912499785423278809e-01,-1.495784032158553600e-03
1.041249990463256836e+00,-1.406747265718877316e-03
