# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-2.816691812768112868e-05
1.999999955296516418e-02,-5.633333421428687871e-05
3.500000014901161194e-02,-9.858200064627453685e-05
5.750000104308128357e-02,-1.619527756702154875e-04
9.125000238418579102e-02,-2.570037322584539652e-04
1.412499994039535522e-01,-3.978077438659965992e-04
1.912499964237213135e-01,-5.385961267165839672e-04
2.412499934434890747e-01,-6.793675129301846027e-04
2.912499904632568359e-01,-8.201203308999538422e-04
3.412500023841857910e-01,-9.608530090190470219e-04
3.912500143051147461e-01,-1.101563568226993084e-03
4.412499964237213135e-01,-1.242249622009694576e-03
4.912500083446502686e-01,-1.382905989885330200e-03
5.412499904632568359e-01,-1.522873295471072197e-03
5.912500023841857910e-01,-1.621798728592693806e-03
6.412500143051147461e-01,-1.698787556961178780e-03
6.912500262260437012e-01,-1.755417324602603912e-03
7.412499785423278809e-01,-1.791666378267109394e-03
7.912499904632568359e-01,-1.807591412216424942e-03
8.412500023841857910e-01,-1.803473685868084431e-03
8.912500143051147461e-01,-1.779799000360071659e-03
9.412500262260437012e-01,-1.737101236358284950e-03
9.912499785423278809e-01,-1.675857347436249256e-03
1.041249990463256836e+00,-1.596311805769801140e-03
