# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-2.658804260136093944e-05
1.999999955296516418e-02,-5.317451723385602236e-05
3.500000014901161194e-02,-9.305129060521721840e-05
5.750000104308128357e-02,-1.528598368167877197e-04
9.125000238418579102e-02,-2.425576822133734822e-04
1.412499994039535522e-01,-3.754101926460862160e-04
1.912499964237213135e-01,-5.082227871753275394e-04
2.412499934434890747e-01,-6.409949855878949165e-04
2.912499904632568359e-01,-7.737260893918573856e-04
3.412500023841857910e-01,-9.064154583029448986e-04
3.912500143051147461e-01,-1.039062277413904667e-03
4.412499964237213135e-01,-1.171665382571518421e-03
4.912500083446502686e-01,-1.304223784245550632e-03
5.412499904632568359e-01,-1.436725142411887646e-03
5.912500023841857910e-01,-1.568443607538938522e-03
6.412500143051147461e-01,-1.699792454019188881e-03
6.912500262260437012e-01,-1.830776920542120934e-03
7.412499785423278809e-01,-1.961397472769021988e-03
7.912499904632568359e-01,-2.091655274853110313e-03
8.412500023841857910e-01,-2.221551956608891487e-03
8.912500143051147461e-01,-2.351091243326663971e-03
9.412500262260437012e-01,-2.480276161804795265e-03
9.912499785423278809e-01,-2.609107177704572678e-03
1.041249990463256836e+00,-2.737580332905054092e-03
