# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-3.557366289896890521e-05
1.999999955296516418e-02,-7.114571781130507588e-05
3.500000014901161194e-02,-1.245007588295266032e-04
5.750000104308128357e-02,-2.045264554908499122e-04
9.125000238418579102e-02,-3.245493571739643812e-04
1.412499994039535522e-01,-5.023259436711668968e-04
1.912499964237213135e-01,-6.800596602261066437e-04
2.412499934434890747e-01,-8.577492553740739822e-04
2.912499904632568359e-01,-1.035393332131206989e-03
3.412500023841857910e-01,-1.212990609928965569e-03
3.912500143051147461e-01,-1.390539342537522316e-03
4.412499964237213135e-01,-1.568037783727049828e-03
4.912500083446502686e-01,-1.745483838021755219e-03
5.412499904632568359e-01,-1.922860741615295410e-03
5.912500023841857910e-01,-2.099211327731609344e-03
6.412500143051147461e-01,-2.275082049891352654e-03
6.912500262260437012e-01,-2.450475469231605530e-03
7.412499785423278809e-01,-2.625391585752367973e-03
7.912499904632568359e-01,-2.799830399453639984e-03
8.412500023841857910e-01,-2.973794238641858101e-03
8.912500143051147461e-01,-3.147287992760539055e-03
9.412500262260437012e-01,-3.320315852761268616e-03
9.912499785423278809e-01,-3.492879448458552361e-03
1.041249990463256836e+00,-3.664973424747586250e-03
