# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-4.001070192316547036e-05
1.999999955296516418e-02,-8.001978858374059200e-05
3.500000014901161194e-02,-1.400303590344265103e-04
5.750000104308128357e-02,-2.300392661709338427e-04
9.125000238418579102e-02,-3.650367434602230787e-04
1.412499994039535522e-01,-5.649971426464617252e-04
1.912499964237213135e-01,-7.649133913218975067e-04
2.412499934434890747e-01,-9.647839469835162163e-04
2.912499904632568359e-01,-1.164607005193829536e-03
3.412500023841857910e-01,-1.364380703307688236e-03
3.912500143051147461e-01,-1.564102945849299431e-03
4.412499964237213135e-01,-1.763771753758192062e-03
4.912500083446502686e-01,-1.963384449481964111e-03
5.412499904632568359e-01,-2.162926131859421730e-03
5.662500262260437012e-01,-2.262293826788663864e-03
5.912500023841857910e-01,-2.361428458243608475e-03
6.162499785423278809e-01,-2.460441552102565765e-03
6.537500023841857910e-01,-2.608719281852245331e-03
7.037500143051147461e-01,-2.805961528792977333e-03
7.537500262260437012e-01,-3.002678509801626205e-03
8.037499785423278809e-01,-3.198869759216904640e-03
8.537499904632568359e-01,-3.394537838175892830e-03
9.037500023841857910e-01,-3.589688334614038467e-03
9.537500143051147461e-01,-3.784324740990996361e-03
1.003749966621398926e+00,-3.978447988629341125e-03
1.053750038146972656e+00,-4.172050859779119492e-03
