# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-1.546834100736305118e-04
1.999999955296516418e-02,-3.093559062108397484e-04
3.500000014901161194e-02,-5.413437029346823692e-04
5.750000104308128357e-02,-8.892764453776180744e-04
9.125000238418579102e-02,-1.411059871315956116e-03
1.412499994039535522e-01,-2.183797536417841911e-03
1.912499964237213135e-01,-2.956173848360776901e-03
2.412499934434890747e-01,-3.728148294612765312e-03
2.912499904632568359e-01,-4.499673843383789062e-03
3.412500023841857910e-01,-5.270694382488727570e-03
3.912500143051147461e-01,-6.041141692548990250e-03
4.412499964237213135e-01,-6.810927763581275940e-03
4.912500083446502686e-01,-7.579926401376724243e-03
5.037500262260437012e-01,-7.772007491439580917e-03
5.224999785423278809e-01,-8.059839718043804169e-03
5.506250262260437012e-01,-8.491147309541702271e-03
5.928124785423278809e-01,-9.137123823165893555e-03
6.428124904632568359e-01,-9.900683537125587463e-03
6.928125023841857910e-01,-1.066060643643140793e-02
7.428125143051147461e-01,-1.141217630356550217e-02
7.928125262260437012e-01,-1.213566865772008896e-02
8.428124785423278809e-01,-1.278069987893104553e-02
8.928124904632568359e-01,-1.335029490292072296e-02
9.428125023841857910e-01,-1.388582959771156311e-02
9.928125143051147461e-01,-1.440377533435821533e-02
1.042812466621398926e+00,-1.491002738475799561e-02
1.092812538146972656e+00,-1.540755387395620346e-02
