# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-8.770427484705578536e-06
1.999999955296516418e-02,-1.754032564349472523e-05
3.500000014901161194e-02,-3.069418380619026721e-05
5.750000104308128357e-02,-5.042274642619304359e-05
9.125000238418579102e-02,-8.001059904927387834e-05
1.412499994039535522e-01,-1.238334225490689278e-04
1.912499964237213135e-01,-1.676429674262180924e-04
2.412499934434890747e-01,-2.114389644702896476e-04
2.912499904632568359e-01,-2.552210062276571989e-04
3.412500023841857910e-01,-2.989884815178811550e-04
3.912500143051147461e-01,-3.427407064009457827e-04
4.412499964237213135e-01,-3.864766913466155529e-04
4.912500083446502686e-01,-4.301952722016721964e-04
5.412499904632568359e-01,-4.738951101899147034e-04
5.912500023841857910e-01,-5.175719270482659340e-04
6.037499904632568359e-01,-5.284246290102601051e-04
6.162499785423278809e-01,-5.392674938775599003e-04
6.349999904632568359e-01,-5.555174429900944233e-04
6.631249785423278809e-01,-5.798602942377328873e-04
7.053124904632568359e-01,-6.163020734675228596e-04
7.553125023841857910e-01,-6.593790021724998951e-04
8.053125143051147461e-01,-7.023293292149901390e-04
8.553125262260437012e-01,-7.451479323208332062e-04
9.053124785423278809e-01,-7.878306787461042404e-04
9.178125262260437012e-01,-7.984795956872403622e-04
9.365624785423278809e-01,-8.144365856423974037e-04
9.646875262260437012e-01,-8.383347303606569767e-04
9.752343893051147461e-01,-8.517574169673025608e-04
9.910547137260437012e-01,-8.718637400306761265e-04
1.014785170555114746e+00,-9.019573917612433434e-04
