# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-2.896987280109897256e-05
1.999999955296516418e-02,-5.793700984213501215e-05
3.500000014901161194e-02,-1.013826113194227219e-04
5.750000104308128357e-02,-1.665396266616880894e-04
9.125000238418579102e-02,-2.642495674081146717e-04
1.412499994039535522e-01,-4.089480789843946695e-04
1.912499964237213135e-01,-5.535758100450038910e-04
2.412499934434890747e-01,-6.981272599659860134e-04
2.912499904632568359e-01,-8.425934356637299061e-04
3.412500023841857910e-01,-9.869609493762254715e-04
3.912500143051147461e-01,-1.131210126914083958e-03
4.412499964237213135e-01,-1.275311573408544064e-03
4.912500083446502686e-01,-1.419219421222805977e-03
5.037500262260437012e-01,-1.455154269933700562e-03
5.224999785423278809e-01,-1.508996007032692432e-03
5.506250262260437012e-01,-1.589647610671818256e-03
5.928124785423278809e-01,-1.710336189717054367e-03
6.428124904632568359e-01,-1.852704794146120548e-03
6.928125023841857910e-01,-1.993744866922497749e-03
7.428125143051147461e-01,-2.131637418642640114e-03
7.928125262260437012e-01,-2.259899862110614777e-03
8.428124785423278809e-01,-2.365768421441316605e-03
8.928124904632568359e-01,-2.455181675031781197e-03
9.428125023841857910e-01,-2.540234010666608810e-03
9.928125143051147461e-01,-2.624404616653919220e-03
1.042812466621398926e+00,-2.708598272874951363e-03
1.092812538146972656e+00,-2.793244319036602974e-03
