# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,-8.873350452631711960e-05
1.999999955296516418e-02,-1.774580014171078801e-04
3.500000014901161194e-02,-3.105278010480105877e-04
5.750000104308128357e-02,-5.100943963043391705e-04
9.125000238418579102e-02,-8.093582582660019398e-04
1.412499994039535522e-01,-1.252520130947232246e-03
1.912499964237213135e-01,-1.695447601377964020e-03
2.412499934434890747e-01,-2.138131996616721153e-03
2.912499904632568359e-01,-2.580560278147459030e-03
3.412500023841857910e-01,-3.022713819518685341e-03
3.912500143051147461e-01,-3.464565845206379890e-03
4.412499964237213135e-01,-3.906077006831765175e-03
4.912500083446502686e-01,-4.347185138612985611e-03
5.037500262260437012e-01,-4.457375500351190567e-03
5.224999785423278809e-01,-4.622514825314283371e-03
5.506250262260437012e-01,-4.869997035712003708e-03
5.928124785423278809e-01,-5.240702535957098007e-03
6.428124904632568359e-01,-5.678944289684295654e-03
6.928125023841857910e-01,-6.115101277828216553e-03
7.428125143051147461e-01,-6.546236108988523483e-03
7.928125262260437012e-01,-6.960053462535142899e-03
8.428124785423278809e-01,-7.325293496251106262e-03
8.928124904632568359e-01,-7.644375320523977280e-03
9.428125023841857910e-01,-7.943556644022464752e-03
9.928125143051147461e-01,-8.233382366597652435e-03
1.042812466621398926e+00,-8.517742156982421875e-03
1.092812538146972656e+00,-8.798684924840927124e-03
