# LPF, UR
0.000000000000000000e+00,0.000000000000000000e+00
9.999999776482582092e-03,4.761361651617335156e-06
1.999999955296516418e-02,9.521325409878045321e-06
3.500000014901161194e-02,1.665870695433113724e-05
5.750000104308128357e-02,2.735917951213195920e-05
9.125000238418579102e-02,4.339787483331747353e-05
1.412499994039535522e-01,6.713430775562301278e-05
1.912499964237213135e-01,9.084423072636127472e-05
2.412499934434890747e-01,1.145309215644374490e-04
2.912499904632568359e-01,1.381976762786507607e-04
3.412500023841857910e-01,1.618478418095037341e-04
3.912500143051147461e-01,1.854848669609054923e-04
4.412499964237213135e-01,2.091124042635783553e-04
4.912500083446502686e-01,2.327362744836136699e-04
5.412499904632568359e-01,2.563790767453610897e-04
5.912500023841857910e-01,2.799836511258035898e-04
6.412500143051147461e-01,3.037897404283285141e-04
6.912500262260437012e-01,3.273381735198199749e-04
7.412499785423278809e-01,3.509873058646917343e-04
7.912499904632568359e-01,3.747442096937447786e-04
8.412500023841857910e-01,3.987248637713491917e-04
8.912500143051147461e-01,4.582288966048508883e-04
9.037500023841857910e-01,4.890696145594120026e-04
9.162499904632568359e-01,5.214858683757483959e-04
9.350000023841857910e-01,5.729502299800515175e-04
9.420312643051147461e-01,6.032141391187906265e-04
9.446679949760437012e-01,6.205576937645673752e-04
9.486230611801147461e-01,6.466155755333602428e-04
9.501062035560607910e-01,6.605622475035488605e-04
9.506623744964599609e-01,6.674509495496749878e-04
9.514966607093811035e-01,6.766783189959824085e-04
9.518095254898071289e-01,6.821230053901672363e-04
9.522787928581237793e-01,6.907234783284366131e-04
9.529827237129211426e-01,7.043078076094388962e-04
9.540385603904724121e-01,7.259857375174760818e-04
9.556224346160888672e-01,7.607794250361621380e-04
